cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
50711,50,VISTAHERMOSA,3,1
52001,52,PASTO,1060,24
52019,52,ALBÁN,18,4
52022,52,ALDANA,3,1
52036,52,ANCUYA,7,3
52051,52,ARBOLEDA,7,4
52079,52,BARBACOAS,30,13
52083,52,BELÉN,3,1
52110,52,BUESACO,24,8
52203,52,COLÓN,8,4
52207,52,CONSACÁ,8,2
52210,52,CONTADERO,10,1
52215,52,CÓRDOBA,16,5
52224,52,CUASPUD CARLOSAMA,0,0
52227,52,CUMBAL,45,11
52233,52,CUMBITARA,8,8
52240,52,CHACHAGÜÍ,20,6
52250,52,EL CHARCO,20,9
52254,52,EL PEÑOL,3,1
52256,52,EL ROSARIO,7,5
52258,52,EL TABLÓN DE GÓMEZ,20,3
52260,52,EL TAMBO,12,3
52287,52,FUNES,6,1
52317,52,GUACHUCAL,22,4
52320,52,GUAITARILLA,14,1
52323,52,GUALMATÁN,12,2
52352,52,ILES,10,1
52354,52,IMUÉS,8,4
52356,52,IPIALES,334,17
52378,52,LA CRUZ,30,7
52381,52,LA FLORIDA,16,7
52385,52,LA LLANADA,5,1
52390,52,LA TOLA,8,5
52399,52,LA UNIÓN,60,2
52405,52,LEIVA,4,1
52411,52,LINARES,12,2
52418,52,LOS ANDES,8,1
52427,52,MAGÜÍ,13,12
52435,52,MALLAMA,11,9
52473,52,MOSQUERA,4,1
52480,52,NARIÑO,2,1
52490,52,OLAYA HERRERA,18,7
52506,52,OSPINA,3,1
52520,52,FRANCISCO PIZARRO,7,5
52540,52,POLICARPA,13,9
52560,52,POTOSÍ,17,10
52565,52,PROVIDENCIA,3,1
52573,52,PUERRES,10,6
52585,52,PUPIALES,31,3
52612,52,RICAURTE,23,11
52621,52,ROBERTO PAYÁN,9,9
52678,52,SAMANIEGO,24,1
52683,52,SANDONÁ,26,2
52685,52,SAN BERNARDO,7,1
52687,52,SAN LORENZO,14,5
52693,52,SAN PABLO,13,2
52694,52,SAN PEDRO DE CARTAGO,2,1
