cod_dpto,nom_dpto,cod_mpio,nom_mpio,a_o,tipoatencion,atenciones
05,Antioquia,05079,Barbosa,2019,URGENCIAS,6956
05,Antioquia,05079,Barbosa,2020,CONSULTAS,141330
05,Antioquia,05079,Barbosa,2020,HOSPITALIZACIONES,4651
05,Antioquia,05079,Barbosa,2020,PROCEDIMIENTOS DE SALUD,148671
05,Antioquia,05079,Barbosa,2020,URGENCIAS,4540
05,Antioquia,05079,Barbosa,2021,CONSULTAS,86222
05,Antioquia,05079,Barbosa,2021,HOSPITALIZACIONES,1152
05,Antioquia,05079,Barbosa,2021,PROCEDIMIENTOS DE SALUD,98600
05,Antioquia,05079,Barbosa,2021,URGENCIAS,4109
05,Antioquia,05086,Belmira,2017,CONSULTAS,4613
05,Antioquia,05086,Belmira,2017,HOSPITALIZACIONES,92
05,Antioquia,05086,Belmira,2017,PROCEDIMIENTOS DE SALUD,6445
05,Antioquia,05086,Belmira,2017,URGENCIAS,300
05,Antioquia,05086,Belmira,2018,CONSULTAS,10426
05,Antioquia,05086,Belmira,2018,HOSPITALIZACIONES,175
05,Antioquia,05086,Belmira,2018,PROCEDIMIENTOS DE SALUD,33092
05,Antioquia,05086,Belmira,2018,URGENCIAS,490
05,Antioquia,05086,Belmira,2019,CONSULTAS,8828
05,Antioquia,05086,Belmira,2019,HOSPITALIZACIONES,206
05,Antioquia,05086,Belmira,2019,PROCEDIMIENTOS DE SALUD,30218
05,Antioquia,05086,Belmira,2019,URGENCIAS,453
05,Antioquia,05086,Belmira,2020,CONSULTAS,6252
05,Antioquia,05086,Belmira,2020,HOSPITALIZACIONES,191
05,Antioquia,05086,Belmira,2020,PROCEDIMIENTOS DE SALUD,18770
05,Antioquia,05086,Belmira,2020,URGENCIAS,585
05,Antioquia,05086,Belmira,2021,CONSULTAS,4182
05,Antioquia,05086,Belmira,2021,HOSPITALIZACIONES,83
05,Antioquia,05086,Belmira,2021,PROCEDIMIENTOS DE SALUD,9579
05,Antioquia,05086,Belmira,2021,URGENCIAS,188
