cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
13,BOLÍVAR,13458,MONTECRISTO,Municipio,,,BOLIVAR|MONTECRISTO
13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,Municipio,,,BOLIVAR|SANTA CRUZ DE MOMPOX
13,BOLÍVAR,13473,MORALES,Municipio,,,BOLIVAR|MORALES
13,BOLÍVAR,13490,NOROSÍ,Municipio,,,BOLIVAR|NOROSI
13,BOLÍVAR,13549,PINILLOS,Municipio,,,BOLIVAR|PINILLOS
13,BOLÍVAR,13580,REGIDOR,Municipio,,,BOLIVAR|REGIDOR
13,BOLÍVAR,13600,RÍO VIEJO,Municipio,,,BOLIVAR|RIO VIEJO
13,BOLÍVAR,13620,SAN CRISTÓBAL,Municipio,,,BOLIVAR|SAN CRISTOBAL
13,BOLÍVAR,13647,SAN ESTANISLAO,Municipio,,,BOLIVAR|SAN ESTANISLAO
13,BOLÍVAR,13650,SAN FERNANDO,Municipio,,,BOLIVAR|SAN FERNANDO
13,BOLÍVAR,13654,SAN JACINTO,Municipio,,,BOLIVAR|SAN JACINTO
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Municipio,,,BOLIVAR|SAN JACINTO DEL CAUCA
13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,Municipio,,,BOLIVAR|SAN JUAN NEPOMUCENO
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Municipio,,,BOLIVAR|SAN MARTIN DE LOBA
13,BOLÍVAR,13670,SAN PABLO,Municipio,,,BOLIVAR|SAN PABLO
13,BOLÍVAR,13673,SANTA CATALINA,Municipio,,,BOLIVAR|SANTA CATALINA
13,BOLÍVAR,13683,SANTA ROSA,Municipio,,,BOLIVAR|SANTA ROSA
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Municipio,,,BOLIVAR|SANTA ROSA DEL SUR
13,BOLÍVAR,13744,SIMITÍ,Municipio,,,BOLIVAR|SIMITI
13,BOLÍVAR,13760,SOPLAVIENTO,Municipio,,,BOLIVAR|SOPLAVIENTO
13,BOLÍVAR,13780,TALAIGUA NUEVO,Municipio,,,BOLIVAR|TALAIGUA NUEVO
13,BOLÍVAR,13810,TIQUISIO,Municipio,,,BOLIVAR|TIQUISIO
13,BOLÍVAR,13836,TURBACO,Municipio,,,BOLIVAR|TURBACO
13,BOLÍVAR,13838,TURBANÁ,Municipio,,,BOLIVAR|TURBANA
13,BOLÍVAR,13873,VILLANUEVA,Municipio,,,BOLIVAR|VILLANUEVA
13,BOLÍVAR,13894,ZAMBRANO,Municipio,,,BOLIVAR|ZAMBRANO
15,BOYACÁ,15001,TUNJA,Municipio,,,BOYACA|TUNJA
15,BOYACÁ,15022,ALMEIDA,Municipio,,,BOYACA|ALMEIDA
15,BOYACÁ,15047,AQUITANIA,Municipio,,,BOYACA|AQUITANIA
15,BOYACÁ,15051,ARCABUCO,Municipio,,,BOYACA|ARCABUCO
15,BOYACÁ,15087,BELÉN,Municipio,,,BOYACA|BELEN
15,BOYACÁ,15090,BERBEO,Municipio,,,BOYACA|BERBEO
15,BOYACÁ,15092,BETÉITIVA,Municipio,,,BOYACA|BETEITIVA
15,BOYACÁ,15097,BOAVITA,Municipio,,,BOYACA|BOAVITA
15,BOYACÁ,15104,BOYACÁ,Municipio,,,BOYACA|BOYACA
15,BOYACÁ,15106,BRICEÑO,Municipio,,,BOYACA|BRICENO
15,BOYACÁ,15109,BUENAVISTA,Municipio,,,BOYACA|BUENAVISTA
15,BOYACÁ,15114,BUSBANZÁ,Municipio,,,BOYACA|BUSBANZA
15,BOYACÁ,15131,CALDAS,Municipio,,,BOYACA|CALDAS
15,BOYACÁ,15135,CAMPOHERMOSO,Municipio,,,BOYACA|CAMPOHERMOSO
15,BOYACÁ,15162,CERINZA,Municipio,,,BOYACA|CERINZA
15,BOYACÁ,15172,CHINAVITA,Municipio,,,BOYACA|CHINAVITA
15,BOYACÁ,15176,CHIQUINQUIRÁ,Municipio,,,BOYACA|CHIQUINQUIRA
15,BOYACÁ,15180,CHISCAS,Municipio,,,BOYACA|CHISCAS
15,BOYACÁ,15183,CHITA,Municipio,,,BOYACA|CHITA
15,BOYACÁ,15185,CHITARAQUE,Municipio,,,BOYACA|CHITARAQUE
15,BOYACÁ,15187,CHIVATÁ,Municipio,,,BOYACA|CHIVATA
15,BOYACÁ,15189,CIÉNEGA,Municipio,,,BOYACA|CIENEGA
15,BOYACÁ,15204,CÓMBITA,Municipio,,,BOYACA|COMBITA
15,BOYACÁ,15212,COPER,Municipio,,,BOYACA|COPER
15,BOYACÁ,15215,CORRALES,Municipio,,,BOYACA|CORRALES
15,BOYACÁ,15218,COVARACHÍA,Municipio,,,BOYACA|COVARACHIA
15,BOYACÁ,15223,CUBARÁ,Municipio,,,BOYACA|CUBARA
15,BOYACÁ,15224,CUCAITA,Municipio,,,BOYACA|CUCAITA
15,BOYACÁ,15226,CUÍTIVA,Municipio,,,BOYACA|CUITIVA
15,BOYACÁ,15232,CHÍQUIZA,Municipio,,,BOYACA|CHIQUIZA
15,BOYACÁ,15236,CHIVOR,Municipio,,,BOYACA|CHIVOR
15,BOYACÁ,15238,DUITAMA,Municipio,,,BOYACA|DUITAMA
15,BOYACÁ,15244,EL COCUY,Municipio,,,BOYACA|EL COCUY
15,BOYACÁ,15248,EL ESPINO,Municipio,,,BOYACA|EL ESPINO
15,BOYACÁ,15272,FIRAVITOBA,Municipio,,,BOYACA|FIRAVITOBA
15,BOYACÁ,15276,FLORESTA,Municipio,,,BOYACA|FLORESTA
15,BOYACÁ,15293,GACHANTIVÁ,Municipio,,,BOYACA|GACHANTIVA
15,BOYACÁ,15296,GÁMEZA,Municipio,,,BOYACA|GAMEZA
15,BOYACÁ,15299,GARAGOA,Municipio,,,BOYACA|GARAGOA
15,BOYACÁ,15317,GUACAMAYAS,Municipio,,,BOYACA|GUACAMAYAS
15,BOYACÁ,15322,GUATEQUE,Municipio,,,BOYACA|GUATEQUE
15,BOYACÁ,15325,GUAYATÁ,Municipio,,,BOYACA|GUAYATA
15,BOYACÁ,15332,GÜICÁN DE LA SIERRA,Municipio,,,BOYACA|GUICAN DE LA SIERRA
15,BOYACÁ,15362,IZA,Municipio,,,BOYACA|IZA
15,BOYACÁ,15367,JENESANO,Municipio,,,BOYACA|JENESANO
15,BOYACÁ,15368,JERICÓ,Municipio,,,BOYACA|JERICO
15,BOYACÁ,15377,LABRANZAGRANDE,Municipio,,,BOYACA|LABRANZAGRANDE
