cod_mpio,cod_dpto,nom_mpio,poblacion,afiliados_total,af_subsidiado,af_contributivo,pct_rural_afiliados,fuente
15690,15,SANTA MARÍA,2581,2581,1924.0,657.0,44.75,bdua
15693,15,SANTA ROSA DE VITERBO,6515,6515,4939.0,1576.0,44.743,bdua
15696,15,SANTA SOFÍA,2472,2472,2200.0,272.0,67.476,bdua
15720,15,SATIVANORTE,1641,1641,1395.0,246.0,66.301,bdua
15723,15,SATIVASUR,812,812,581.0,231.0,69.704,bdua
15740,15,SIACHOQUE,5750,5750,5179.0,571.0,81.983,bdua
15753,15,SOATÁ,8950,8950,5790.0,3160.0,28.894,bdua
15755,15,SOCOTÁ,6540,6540,4785.0,1755.0,70.168,bdua
15757,15,SOCHA,8425,8425,4565.0,3860.0,50.386,bdua
15759,15,SOGAMOSO,144895,144895,60093.0,84802.0,14.948,bdua
15761,15,SOMONDOCO,1620,1620,1419.0,201.0,74.012,bdua
15762,15,SORA,2170,2170,1918.0,252.0,71.475,bdua
15763,15,SOTAQUIRÁ,5410,5410,3884.0,1526.0,72.847,bdua
15764,15,SORACÁ,5478,5478,4592.0,886.0,72.161,bdua
15774,15,SUSACÓN,1759,1759,1591.0,168.0,79.022,bdua
15776,15,SUTAMARCHÁN,5504,5504,4690.0,814.0,63.772,bdua
15778,15,SUTATENZA,2760,2760,2226.0,534.0,77.101,bdua
15790,15,TASCO,4599,4599,2807.0,1792.0,63.427,bdua
15798,15,TENZA,2815,2815,2246.0,569.0,69.449,bdua
15804,15,TIBANÁ,6418,6418,5896.0,522.0,81.24,bdua
15806,15,TIBASOSA,7299,7299,5307.0,1992.0,52.267,bdua
15808,15,TINJACÁ,2382,2382,1980.0,402.0,65.953,bdua
15810,15,TIPACOQUE,2916,2916,2600.0,316.0,73.937,bdua
15814,15,TOCA,8869,8869,6873.0,1996.0,54.2,bdua
15816,15,TOGÜÍ,4014,4014,3787.0,227.0,84.355,bdua
15820,15,TÓPAGA,2773,2773,1960.0,813.0,55.536,bdua
15822,15,TOTA,4292,4292,3978.0,314.0,81.594,bdua
15832,15,TUNUNGUÁ,1342,1342,1239.0,103.0,86.513,bdua
15835,15,TURMEQUÉ,4706,4706,4247.0,459.0,69.911,bdua
15837,15,TUTA,6102,6102,4582.0,1520.0,69.6,bdua
15839,15,TUTAZÁ,0,0,,,,bdua
15842,15,ÚMBITA,5239,5239,4811.0,428.0,84.329,bdua
15861,15,VENTAQUEMADA,13084,13084,10675.0,2409.0,71.522,bdua
15879,15,VIRACACHÁ,2017,2017,1867.0,150.0,79.623,bdua
15897,15,ZETAQUIRA,3914,3914,3521.0,393.0,77.593,bdua
17001,17,MANIZALES,438145,438145,111488.0,326657.0,5.739,bdua
17013,17,AGUADAS,19678,19678,13967.0,5711.0,42.271,bdua
17042,17,ANSERMA,31175,31175,23677.0,7498.0,37.405,bdua
17050,17,ARANZAZU,11898,11898,8889.0,3009.0,35.359,bdua
17088,17,BELALCÁZAR,8858,8858,6886.0,1972.0,49.548,bdua
17174,17,CHINCHINÁ,54811,54811,29111.0,25700.0,14.371,bdua
17272,17,FILADELFIA,7470,7470,6030.0,1440.0,53.36,bdua
17380,17,LA DORADA,67812,67812,40869.0,26943.0,15.991,bdua
17388,17,LA MERCED,4376,4376,3398.0,978.0,48.355,bdua
17433,17,MANZANARES,15027,15027,12326.0,2701.0,44.972,bdua
17442,17,MARMATO,9526,9526,5816.0,3710.0,43.114,bdua
17444,17,MARQUETALIA,12163,12163,10447.0,1716.0,50.818,bdua
17446,17,MARULANDA,1687,1687,1294.0,393.0,44.458,bdua
17486,17,NEIRA,16358,16358,11042.0,5316.0,37.774,bdua
17495,17,NORCASIA,6087,6087,4769.0,1318.0,36.34,bdua
17513,17,PÁCORA,12139,12139,8898.0,3241.0,40.621,bdua
17524,17,PALESTINA,10622,10622,7806.0,2816.0,26.332,bdua
17541,17,PENSILVANIA,15846,15846,12398.0,3448.0,49.596,bdua
17614,17,RIOSUCIO,47035,47035,36028.0,11007.0,69.087,bdua
17616,17,RISARALDA,9798,9798,7761.0,2037.0,53.256,bdua
17653,17,SALAMINA,14229,14229,9671.0,4558.0,35.73,bdua
17662,17,SAMANÁ,17949,17949,15731.0,2218.0,58.215,bdua
17665,17,SAN JOSÉ,0,0,,,,bdua
17777,17,SUPÍA,28334,28334,19235.0,9099.0,50.847,bdua
17867,17,VICTORIA,7040,7040,5431.0,1609.0,45.241,bdua
17873,17,VILLAMARÍA,25733,25733,13334.0,12399.0,16.745,bdua
17877,17,VITERBO,11451,11451,6925.0,4526.0,20.697,bdua
18001,18,FLORENCIA,176583,176583,121892.0,54691.0,12.704,bdua
18029,18,ALBANIA,4360,4360,3968.0,392.0,49.014,bdua
18094,18,BELÉN DE LOS ANDAQUÍES,9100,9100,8224.0,876.0,36.692,bdua
18150,18,CARTAGENA DEL CHAIRÁ,33871,33871,32055.0,1816.0,50.438,bdua
18205,18,CURILLO,9204,9204,8751.0,453.0,36.658,bdua
18247,18,EL DONCELLO,18363,18363,16059.0,2304.0,30.774,bdua
18256,18,EL PAUJÍL,13908,13908,12881.0,1027.0,45.449,bdua
18410,18,LA MONTAÑITA,13353,13353,12653.0,700.0,71.422,bdua
18460,18,MILÁN,7563,7563,7187.0,376.0,65.411,bdua
18479,18,MORELIA,3665,3665,3349.0,316.0,39.7,bdua
18592,18,PUERTO RICO,24422,24422,22503.0,1919.0,43.444,bdua
18610,18,SAN JOSÉ DEL FRAGUA,0,0,,,,bdua
18753,18,SAN VICENTE DEL CAGUÁN,58571,58571,53051.0,5520.0,50.228,bdua
18756,18,SOLANO,9740,9740,9340.0,400.0,61.396,bdua
18785,18,SOLITA,8726,8726,8444.0,282.0,37.394,bdua
18860,18,VALPARAÍSO,5635,5635,5247.0,388.0,56.38,bdua
19001,19,POPAYÁN,333116,333116,185356.0,147760.0,18.345,bdua
19022,19,ALMAGUER,15427,15427,14717.0,710.0,91.23,bdua
19050,19,ARGELIA,26962,26962,26233.0,729.0,81.099,bdua
19075,19,BALBOA,20803,20803,20121.0,682.0,66.832,bdua
19100,19,BOLÍVAR,34287,34287,32340.0,1947.0,81.206,bdua
19110,19,BUENOS AIRES,23996,23996,22522.0,1474.0,85.656,bdua
19130,19,CAJIBÍO,32677,32677,31167.0,1510.0,91.658,bdua
19137,19,CALDONO,38423,38423,35967.0,2456.0,94.152,bdua
19142,19,CALOTO,22475,22475,18596.0,3879.0,73.446,bdua
