cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05240,05,EBÉJICO,2017,12153.0,81.618,dane
05240,05,EBÉJICO,2018,12153.0,81.618,dane
05240,05,EBÉJICO,2019,12363.0,81.105,dane
05240,05,EBÉJICO,2020,12545.0,80.622,dane
05240,05,EBÉJICO,2021,12564.0,80.126,dane
05250,05,EL BAGRE,2017,51868.0,36.712,dane
05250,05,EL BAGRE,2018,51868.0,36.712,dane
05250,05,EL BAGRE,2019,52651.0,35.656,dane
05250,05,EL BAGRE,2020,53491.0,34.608,dane
05250,05,EL BAGRE,2021,54125.0,34.175,dane
05264,05,ENTRERRÍOS,2017,11154.0,49.426,dane
05264,05,ENTRERRÍOS,2018,11154.0,49.426,dane
05264,05,ENTRERRÍOS,2019,11425.0,48.972,dane
05264,05,ENTRERRÍOS,2020,11728.0,48.712,dane
05264,05,ENTRERRÍOS,2021,11968.0,48.329,dane
05266,05,ENVIGADO,2017,228836.0,5.715,dane
05266,05,ENVIGADO,2018,228836.0,5.715,dane
05266,05,ENVIGADO,2019,235397.0,5.144,dane
05266,05,ENVIGADO,2020,242371.0,4.54,dane
05266,05,ENVIGADO,2021,247649.0,4.459,dane
05282,05,FREDONIA,2017,24415.0,67.09,dane
05282,05,FREDONIA,2018,24415.0,67.09,dane
05282,05,FREDONIA,2019,24869.0,66.943,dane
05282,05,FREDONIA,2020,25367.0,66.78,dane
05282,05,FREDONIA,2021,25609.0,66.453,dane
05284,05,FRONTINO,2017,20742.0,58.36,dane
05284,05,FRONTINO,2018,20742.0,58.36,dane
05284,05,FRONTINO,2019,21018.0,57.76,dane
05284,05,FRONTINO,2020,21283.0,57.262,dane
05284,05,FRONTINO,2021,21426.0,56.837,dane
05306,05,GIRALDO,2017,5545.0,62.759,dane
05306,05,GIRALDO,2018,5545.0,62.759,dane
05306,05,GIRALDO,2019,5716.0,62.386,dane
05306,05,GIRALDO,2020,5875.0,62.077,dane
05306,05,GIRALDO,2021,5993.0,61.522,dane
05308,05,GIRARDOTA,2017,51660.0,44.541,dane
05308,05,GIRARDOTA,2018,51660.0,44.541,dane
05308,05,GIRARDOTA,2019,54202.0,45.137,dane
05308,05,GIRARDOTA,2020,56990.0,45.801,dane
05308,05,GIRARDOTA,2021,58069.0,45.653,dane
05310,05,GÓMEZ PLATA,2017,9761.0,48.663,dane
05310,05,GÓMEZ PLATA,2018,9761.0,48.663,dane
05310,05,GÓMEZ PLATA,2019,9878.0,48.036,dane
05310,05,GÓMEZ PLATA,2020,10010.0,47.512,dane
05310,05,GÓMEZ PLATA,2021,10089.0,47.16,dane
05313,05,GRANADA,2017,10124.0,45.259,dane
05313,05,GRANADA,2018,10124.0,45.259,dane
05313,05,GRANADA,2019,10204.0,45.178,dane
05313,05,GRANADA,2020,10299.0,45.082,dane
05313,05,GRANADA,2021,10356.0,44.805,dane
05315,05,GUADALUPE,2017,6555.0,66.194,dane
05315,05,GUADALUPE,2018,6555.0,66.194,dane
05315,05,GUADALUPE,2019,6662.0,65.596,dane
05315,05,GUADALUPE,2020,6786.0,65.134,dane
05315,05,GUADALUPE,2021,6835.0,64.696,dane
05318,05,GUARNE,2017,55110.0,66.717,dane
05318,05,GUARNE,2018,55110.0,66.717,dane
05318,05,GUARNE,2019,56977.0,66.485,dane
05318,05,GUARNE,2020,58930.0,66.268,dane
05318,05,GUARNE,2021,60291.0,65.887,dane
05321,05,GUATAPÉ,2017,8367.0,35.162,dane
05321,05,GUATAPÉ,2018,8367.0,35.162,dane
05321,05,GUATAPÉ,2019,8568.0,34.991,dane
05321,05,GUATAPÉ,2020,8786.0,34.726,dane
05321,05,GUATAPÉ,2021,8991.0,34.423,dane
05347,05,HELICONIA,2017,5460.0,57.454,dane
05347,05,HELICONIA,2018,5460.0,57.454,dane
05347,05,HELICONIA,2019,5415.0,56.971,dane
05347,05,HELICONIA,2020,5393.0,56.24,dane
05347,05,HELICONIA,2021,5338.0,55.901,dane
05353,05,HISPANIA,2017,5471.0,37.379,dane
05353,05,HISPANIA,2018,5471.0,37.379,dane
05353,05,HISPANIA,2019,5551.0,36.984,dane
05353,05,HISPANIA,2020,5634.0,36.315,dane
05353,05,HISPANIA,2021,5699.0,36.112,dane
05360,05,ITAGÜÍ,2017,276746.0,10.413,dane
05360,05,ITAGÜÍ,2018,276746.0,10.413,dane
05360,05,ITAGÜÍ,2019,283136.0,10.213,dane
05360,05,ITAGÜÍ,2020,290182.0,10.005,dane
05360,05,ITAGÜÍ,2021,294137.0,9.93,dane
05361,05,ITUANGO,2017,27065.0,73.892,dane
05361,05,ITUANGO,2018,27065.0,73.892,dane
05361,05,ITUANGO,2019,27640.0,73.466,dane
05361,05,ITUANGO,2020,28276.0,73.101,dane
05361,05,ITUANGO,2021,28547.0,72.666,dane
05364,05,JARDÍN,2017,14520.0,47.259,dane
05364,05,JARDÍN,2018,14520.0,47.259,dane
05364,05,JARDÍN,2019,14696.0,46.931,dane
05364,05,JARDÍN,2020,14904.0,46.659,dane
05364,05,JARDÍN,2021,15038.0,46.389,dane
05368,05,JERICÓ,2017,13647.0,44.098,dane
05368,05,JERICÓ,2018,13647.0,44.098,dane
05368,05,JERICÓ,2019,13782.0,43.76,dane
05368,05,JERICÓ,2020,13940.0,43.199,dane
05368,05,JERICÓ,2021,14065.0,42.908,dane
05376,05,LA CEJA,2017,64878.0,15.515,dane
05376,05,LA CEJA,2018,64878.0,15.515,dane
05376,05,LA CEJA,2019,65950.0,14.758,dane
05376,05,LA CEJA,2020,67103.0,14.016,dane
05376,05,LA CEJA,2021,68622.0,13.829,dane
05380,05,LA ESTRELLA,2017,71567.0,14.747,dane
05380,05,LA ESTRELLA,2018,71567.0,14.747,dane
05380,05,LA ESTRELLA,2019,73966.0,14.776,dane
05380,05,LA ESTRELLA,2020,76614.0,14.833,dane
05380,05,LA ESTRELLA,2021,78211.0,14.777,dane
05390,05,LA PINTADA,2017,8127.0,12.981,dane
05390,05,LA PINTADA,2018,8127.0,12.981,dane
05390,05,LA PINTADA,2019,8164.0,12.114,dane
05390,05,LA PINTADA,2020,8212.0,11.179,dane
05390,05,LA PINTADA,2021,8337.0,11.047,dane
05400,05,LA UNIÓN,2017,21479.0,40.751,dane
05400,05,LA UNIÓN,2018,21479.0,40.751,dane
05400,05,LA UNIÓN,2019,21871.0,40.09,dane
05400,05,LA UNIÓN,2020,22306.0,39.424,dane
05400,05,LA UNIÓN,2021,22702.0,39.067,dane
05411,05,LIBORINA,2017,10023.0,77.003,dane
05411,05,LIBORINA,2018,10023.0,77.003,dane
05411,05,LIBORINA,2019,10243.0,76.726,dane
05411,05,LIBORINA,2020,10470.0,76.371,dane
05411,05,LIBORINA,2021,10568.0,75.946,dane
05425,05,MACEO,2017,8217.0,62.359,dane
05425,05,MACEO,2018,8217.0,62.359,dane
05425,05,MACEO,2019,8369.0,62.015,dane
05425,05,MACEO,2020,8522.0,61.652,dane
05425,05,MACEO,2021,8611.0,61.236,dane
05440,05,MARINILLA,2017,64640.0,31.575,dane
05440,05,MARINILLA,2018,64640.0,31.575,dane
05440,05,MARINILLA,2019,66120.0,30.956,dane
05440,05,MARINILLA,2020,67645.0,30.33,dane
05440,05,MARINILLA,2021,69257.0,30.05,dane
05467,05,MONTEBELLO,2017,6662.0,72.156,dane
05467,05,MONTEBELLO,2018,6662.0,72.156,dane
05467,05,MONTEBELLO,2019,6719.0,71.335,dane
05467,05,MONTEBELLO,2020,6764.0,70.727,dane
05467,05,MONTEBELLO,2021,6719.0,70.234,dane
05475,05,MURINDÓ,2017,4902.0,64.321,dane
05475,05,MURINDÓ,2018,4902.0,64.321,dane
05475,05,MURINDÓ,2019,5080.0,64.311,dane
05475,05,MURINDÓ,2020,5268.0,64.351,dane
05475,05,MURINDÓ,2021,5397.0,63.961,dane
05480,05,MUTATÁ,2017,13991.0,63.598,dane
05480,05,MUTATÁ,2018,13991.0,63.598,dane
05480,05,MUTATÁ,2019,14048.0,62.984,dane
05480,05,MUTATÁ,2020,14093.0,62.386,dane
05480,05,MUTATÁ,2021,14054.0,61.968,dane
05483,05,NARIÑO,2017,10154.0,69.342,dane
05483,05,NARIÑO,2018,10154.0,69.342,dane
05483,05,NARIÑO,2019,10335.0,68.728,dane
05483,05,NARIÑO,2020,10543.0,68.206,dane
05483,05,NARIÑO,2021,10648.0,67.684,dane
05490,05,NECOCLÍ,2017,42279.0,74.089,dane
05490,05,NECOCLÍ,2018,42279.0,74.089,dane
05490,05,NECOCLÍ,2019,42626.0,73.636,dane
05490,05,NECOCLÍ,2020,43061.0,73.168,dane
05490,05,NECOCLÍ,2021,42976.0,72.715,dane
05495,05,NECHÍ,2017,25786.0,48.934,dane
05495,05,NECHÍ,2018,25786.0,48.934,dane
05495,05,NECHÍ,2019,26385.0,47.762,dane
05495,05,NECHÍ,2020,27004.0,46.634,dane
05495,05,NECHÍ,2021,27525.0,46.162,dane
05501,05,OLAYA,2017,3118.0,93.105,dane
05501,05,OLAYA,2018,3118.0,93.105,dane
05501,05,OLAYA,2019,3200.0,92.625,dane
05501,05,OLAYA,2020,3290.0,92.158,dane
05501,05,OLAYA,2021,3333.0,91.419,dane
05541,05,PEÑOL,2017,21046.0,47.639,dane
05541,05,PEÑOL,2018,21046.0,47.639,dane
05541,05,PEÑOL,2019,21536.0,47.093,dane
05541,05,PEÑOL,2020,22036.0,46.692,dane
05541,05,PEÑOL,2021,22454.0,46.33,dane
